,orderType,bzpNumber,isTenderAmountBelowEU,orderObject,cpvCode,htmlBody,contractors
310,Services,2023/BZP 00001431,True,Usługa ubezpieczenia mienia oraz odpowiedzialności cywilnej Dolnośląskiego  Centrum Medycznego Dolmed S.A.,"66510000-8 (Usługi ubezpieczeniowe),66515000-3 (Usługi ubezpieczenia od uszkodzenia lub utraty),66515100-4 (Usługi ubezpieczenia od ognia),66515400-7 (Usługi ubezpieczenia od skutków żywiołów),66516400-4 (Usługi ubezpieczenia od ogólnej odpowiedzialności cywilnej),66516000-0 (Usługi ubezpieczenia od odpowiedzialności cywilnej)","{'6.3.)': 255109.59, '8.2.)': 137988.75}",2
311,Services,2023/BZP 00001439,True,"Dostarczanie wody, odprowadzanie ścieków oraz opłata abonamentowa dla budynków gminnych w Jastrzębiu-Zdroju wg wykazu (Załącznik 3 do Zaproszenia) w okresie od 01.01.2023r. do 31.12.2023r.",65100000-4 (Usługi przesyłu wody i podobne),"{'4.3.)': 521732.88, '6.2.)': 563471.43, '6.3.)': 563471.43, '6.4.)': 563471.43, '8.2.)': 563471.43}",1
312,Services,2023/BZP 00001440,True,"Św. usług schronienia przez przyznanie tymcz. miejsca w schronisku, schron. z usł. opiek., noclegowni lub ogrzewalni wraz z wyżywieniem dla osób bezdom. z terenu Gm. Skarszewy z podziałem na 5 części","85000000-9 (Usługi w zakresie zdrowia i opieki społecznej),85311000-2 (Usługi opieki społecznej obejmujące miejsca noclegowe)","{'4.5.5.)': 5400.0, '6.2.)': 75.0, '6.3.)': 75.0, '6.4.)': 75.0, '8.2.)': 5400.0}",5
313,Services,2023/BZP 00001442,True,"„Dowóz uczniów do szkół w Gminie Stare Kurowo 
w roku 2023 r. od 2 stycznia 2023 do 22 grudnia 2023 r.”",60100000-9 (Usługi w zakresie transportu drogowego),"{'6.2.)': 206929.08, '6.3.)': 206929.08, '6.4.)': 206929.08, '8.2.)': 206929.08}",1
314,Services,2023/BZP 00001459,True,Utrzymanie i konserwacja sygnalizacji świetlnych oraz urządzeń sygnalizacyjnych na terenie miasta Zabrze w roku 2023,"50232200-2 (Usługi w zakresie konserwacji sygnalizacji ulicznej),45316000-5 (Instalowanie systemów oświetleniowych i sygnalizacyjnych)","{'6.2.)': 834324.99, '6.3.)': 1097522.85, '6.4.)': 834324.99, '8.2.)': 834324.99}",1
315,Works,2023/BZP 00001461,True,"Poprawa brd na przejściach dla pieszych na DK 92 w
m.Strzałkowo","45316110-9 (Instalowanie urządzeń oświetlenia drogowego),71322000-1 (Usługi inżynierii projektowej w zakresie inżynierii lądowej i wodnej),45233222-1 (Roboty budowlane w zakresie układania chodników i asfaltowania)",{'4.3.)': 870691.06},1
316,Services,2023/BZP 00001462,True,Usługi w zakresie odbioru i transportu odpadów komunalnych objętych systemem gospodarowania na terenie Gminy Parchowo,"90500000-2 (Usługi związane z odpadami),90514000-3 (Usługi recyklingu odpadów),90511000-2 (Usługi wywozu odpadów),90512000-9 (Usługi transportu odpadów),90513100-7 (Usługi wywozu odpadów pochodzących z gospodarstw domowych),90533000-2 (Usługi gospodarki odpadami)","{'6.2.)': 504475.0, '6.3.)': 561461.99, '6.4.)': 504475.0, '8.2.)': 504475.0}",1
317,Services,2023/BZP 00001469,True,Usługi pocztowe krajowe i zagraniczne dla PINB dla m.st. Warszawy,64110000-0 (Usługi pocztowe),"{'4.3.)': 341271.25, '6.2.)': 464999.6, '6.3.)': 464999.6, '6.4.)': 464999.6, '8.2.)': 464999.6}",1
318,Works,2023/BZP 00001470,True,Roboty drogowe związane z bieżącym utrzymaniem i remontami ulic o nawierzchni bitumicznej dróg kategorii gminnej będących w zarządzie m. st. Warszawy Dzielnicy Targówek - zamówienie powtórzone,45233142-6 (Roboty w zakresie naprawy dróg),"{'4.3.)': 887560.98, '6.4.)': 979240.88, '8.2.)': 979240.88}",1
319,Works,2023/BZP 00001476,True,Budowa urządzeń podczyszczających na wylotach kanalizacji deszczowej nr 13 Bp w rejonie ulic Wolności i Powstańców Warszawy w Mielcu,"45220000-5 (Roboty inżynieryjne i budowlane),45111100-9 (Roboty w zakresie burzenia),45231110-9 (Roboty budowlane w zakresie kładzenia rurociągów),45311100-1 (Roboty w zakresie okablowania elektrycznego),45223100-7 (Montaż konstrukcji metalowych),45442000-7 (Nakładanie powierzchni kryjących),45320000-6 (Roboty izolacyjne),45246000-3 (Roboty w zakresie regulacji rzek i kontroli przeciwpowodziowej)","{'6.2.)': 724332.24, '6.3.)': 724332.24, '6.4.)': 724332.24, '8.2.)': 724332.24}",1
320,Services,2023/BZP 00001479,True,Wywóz i zagospodarowanie odpadów z oczyszczalni ścieków,"90400000-1 (Usługi utylizacji nieczystości),90511000-2 (Usługi wywozu odpadów),90513700-3 (Usługi transportu osadów),90410000-4 (Usługi usuwania ścieków),90513600-2 (Usługi usuwania osadów),90513900-5 (Usługi likwidacji osadów)","{'6.2.)': 430434.0, '6.3.)': 499316.4}",1
321,Services,2023/BZP 00001489,True,Świadczenie usług ochrony obiektów Zakładu Zagospodarowania Odpadów w Wysiece,79710000-4 (Usługi ochroniarskie),"{'4.3.)': 123169.2, '6.2.)': 151498.12, '6.3.)': 213032.59, '6.4.)': 151498.12, '8.2.)': 151498.12}",1
322,Services,2023/BZP 00001490,True,Odbieranie odpadów komunalnych z nieruchomości zamieszkałych na terenie Gminy Strawczyn,90513100-7 (Usługi wywozu odpadów pochodzących z gospodarstw domowych),"{'4.3.)': 815095.01, '6.2.)': 880302.61, '6.3.)': 880302.61, '6.4.)': 880302.61, '8.2.)': 880302.61}",1
323,Delivery,2023/BZP 00001495,True,Zakup wraz z dostawą odczynników do sekwencjonowania DNA metodą  Sangera i analizy długości fragmentów restrykcyjnych dla Zakładu  Diagnostyki Molekularnej   ŚCO.,33696500-0 (Odczynniki laboratoryjne),"{'6.2.)': 424668.99, '6.3.)': 424668.99, '6.4.)': 424668.99, '8.2.)': 424668.99}",1
324,Delivery,2023/BZP 00001500,True,Dostawa produktów roślinnych do Zakładu Karnego w Tarnowie,"15412200-1 (Tłuszcze roślinne),15411100-3 (Olej roślinny),15411200-4 (Olej spożywczy),15431000-8 (Margaryna i podobne produkty),15431100-9 (Margaryna)","{'4.3.1)': 98153.04, '4.5.5.)': 86532.69, '6.2.)': 134909.5, '6.3.)': 170412.0, '6.4.)': 134909.5, '8.2.)': 134909.5}",2
325,Delivery,2023/BZP 00001506,True,Dostawa gazu do budynku przy ul. Dąbrowskiego 79,09120000-6 (Paliwa gazowe),"{'6.2.)': 168219.4, '6.3.)': 168219.4, '6.4.)': 168219.4, '8.2.)': 168219.4}",1
326,Services,2023/BZP 00001510,True,"KOMPLEKSOWE UTRZYMANIE CZYSTOŚCI 
W OBIEKTACH URSYNOWSKIEGO CENTRUM SPORTU I REKREACJI W WARSZAWIE W 2023 r",90910000-9 (Usługi sprzątania),"{'4.5.5.)': 275888.3, '6.2.)': 337219.85, '6.3.)': 337219.85, '6.4.)': 337219.85, '8.2.)': 337219.85}",3
327,Delivery,2023/BZP 00001517,True,Zakup i dostawa fabrycznie nowego lekkiego samochodu ratowniczo-gaśniczego na podwoziu z napędem 4x4 dla OSP w Pasieczniku,"34144210-3 (Wozy strażackie),34144200-0 (Pojazdy służb ratowniczych),35110000-8 (Sprzęt gaśniczy, ratowniczy i bezpieczeństwa)","{'4.3.)': 390243.9, '6.2.)': 477900.0, '6.3.)': 477900.0, '6.4.)': 477900.0, '8.2.)': 477900.0}",1
328,Services,2023/BZP 00001521,True,Usługa sprzątania obiektów oraz terenu Teatru Miejskiego im. Witolda Gombrowicza w Gdyni przy ul. Bema 26,"90910000-9 (Usługi sprzątania),90620000-9 (Usługi odśnieżania),90911200-8 (Usługi sprzątania budynków),90911300-9 (Usługi czyszczenia okien),90919200-4 (Usługi sprzątania biur)","{'4.3.)': 182160.0, '6.2.)': 224917.2, '6.3.)': 224917.2, '6.4.)': 224917.2, '8.2.)': 224917.2}",1
329,Services,2023/BZP 00001526,True,Świadczenie usług pocztowych w zakresie przyjmowania i doręczania przesyłek w obrocie krajowym i zagranicznym,"64110000-0 (Usługi pocztowe),64112000-4 (Usługi pocztowe dotyczące listów),64113000-1 (Usługi pocztowe dotyczące paczek)","{'4.3.)': 145200.0, '6.2.)': 132255.1, '6.3.)': 132255.1, '6.4.)': 132255.1, '8.2.)': 132255.1}",1
330,Services,2023/BZP 00001529,True,„Świadczenie usług porządkowych w siedzibie WFOŚiGW zlokalizowanej w Katowicach przy ul. Plebiscytowej 19 oraz w wynajmowanych pomieszczeniach w budynku przy ul. Wita Stwosza 2 w Katowicach”.,"90910000-9 (Usługi sprzątania),90911200-8 (Usługi sprzątania budynków),90911300-9 (Usługi czyszczenia okien),98310000-9 (Usługi prania i czyszczenia na sucho)","{'4.3.)': 260001.56, '6.2.)': 240824.65, '6.3.)': 253059.7, '6.4.)': 240824.65, '8.2.)': 240824.65}",1
331,Delivery,2023/BZP 00001531,True,Dostawa sprzętu komputerowego i oprogramowania dla Politechniki Świętokrzyskiej,"30233000-1 (Urządzenia do przechowywania i odczytu danych),30213100-6 (Komputery przenośne),48700000-5 (Pakiety oprogramowania użytkowego),30121200-5 (Urządzenia fotokopiujące),30213300-8 (Komputer biurkowy),30231300-0 (Monitory ekranowe),30236110-6 (Pamięć o dostępie swobodnym (RAM))","{'4.3.1)': 37501.5, '4.5.5.)': 559.48, '6.2.)': 541.7, '6.3.)': 541.7, '6.4.)': 541.7, '8.2.)': 541.7}",9
332,Delivery,2023/BZP 00001541,True,Zakup paliw do pojazdów i urządzeń technicznych,09100000-0 (Paliwa),"{'4.3.)': 206208.32, '8.2.)': 246420.0}",1
334,Services,2023/BZP 00001550,True,„Świadczenie usługi odbierania i transportu odpadów komunalnych od właścicieli nieruchomości zamieszkałych na terenie Gminy Studzienice w roku 2023”,"90500000-2 (Usługi związane z odpadami),90511000-2 (Usługi wywozu odpadów),90513100-7 (Usługi wywozu odpadów pochodzących z gospodarstw domowych),90512000-9 (Usługi transportu odpadów)","{'6.2.)': 464788.8, '6.3.)': 464788.8, '6.4.)': 464788.8, '8.2.)': 464788.8}",1
335,Delivery,2023/BZP 00001554,True,"Dostawa i dystrybucja paliwa gazowego dla potrzeb budynku pływalni sportowej w Stanisławowie Pierwszym, gm. Nieporęt",09123000-7 (Gaz ziemny),{'6.2.)': 950000.0},1
338,Delivery,2023/BZP 00001569,True,"Przedmiotem zamówienia jest zakup i dostawa papieru kserograficznego i materiałów biurowych w okresie 12 miesięcy dla Politechniki Poznańskiej, z podziałem na części (pakiety).","30192000-1 (Wyroby biurowe),30197630-1 (Papier do drukowania),30197644-2 (Papier kserograficzny)","{'4.3.)': 600000.0, '4.5.5.)': 243640.86, '6.2.)': 243640.86, '6.3.)': 243640.86, '6.4.)': 243640.86, '8.2.)': 243640.86}",2
339,Services,2023/BZP 00001591,True,Usługa cateringowa w Urzędzie Marszałkowskim Województwa Lubelskiego w Lublinie w roku 2023 z podziałem na 2 części,55520000-1 (Usługi dostarczania posiłków),"{'6.2.)': 170752.95, '6.3.)': 1553503.32, '6.4.)': 170752.95, '8.2.)': 170752.95}",2
340,Works,2023/BZP 00001596,True,Budowa 4 instalacji fotowoltaicznych w ramach projektu pn.  Budowa instalacji fotowoltaicznych dla budynków PS nr 2 i nr 5 w Kępnie oraz PS i SP w Hanulinie,"45000000-7 (Roboty budowlane),45300000-0 (Roboty instalacyjne w budynkach),45310000-3 (Roboty instalacyjne elektryczne),45311100-1 (Roboty w zakresie okablowania elektrycznego),45311200-2 (Roboty w zakresie instalacji elektrycznych),45311000-0 (Roboty w zakresie okablowania oraz instalacji elektrycznych),45314000-1 (Instalowanie urządzeń telekomunikacyjnych),45315000-8 (Instalowanie urządzeń elektrycznego ogrzewania i innego sprzętu elektrycznego w budynkach),45317000-2 (Inne instalacje elektryczne)","{'4.3.)': 584512.2, '6.2.)': 797040.0, '6.3.)': 1000156.05, '6.4.)': 797040.0, '8.2.)': 797040.0}",1
341,Services,2023/BZP 00001598,True,"Usługa ochrony osób, mienia i obiektów Warszawskiego Centrum Pomocy Rodzinie",79710000-4 (Usługi ochroniarskie),"{'4.3.)': 355044.06, '6.2.)': 444857.52, '6.3.)': 444857.52, '6.4.)': 444857.52, '8.2.)': 444857.52}",1
342,Services,2023/BZP 00001600,True,Usługi na obiekcie hydrotechnicznym ZW Świnna Poręba,"42995000-7 (Różne maszyny czyszczące),35121700-5 (Systemy alarmowe),43328100-9 (Urządzenia hydrauliczne),51900000-1 (Usługi instalowania systemów sterowania i kontroli),71353100-8 (Usługi badania hydrograficznego)","{'4.5.5.)': 39975.0, '6.2.)': 34989.81, '6.3.)': 34989.81, '6.4.)': 34989.81, '8.2.)': 34989.81}",5
343,Services,2023/BZP 00001603,True,Wykonanie odmulenia rowów wraz ze ścięciem poboczy na sieci dróg woje. administrowanych przez PZDW w Rzeszowie – 2 zadania  - Zadanie Nr 2 - usługi podobne RDW Ustrzyki Dolne.,"50000000-5 (Usługi naprawcze i konserwacyjne),60000000-8 (Usługi transportowe (z wyłączeniem transportu odpadów))","{'6.2.)': 28290.0, '6.3.)': 28290.0, '6.4.)': 28290.0, '8.2.)': 28290.0}",1
344,Services,2023/BZP 00001605,True,Świadczenie kompleksowej usługi w zakresie prania bielizny i odzieży szpitalnej wraz z transportem,"98310000-9 (Usługi prania i czyszczenia na sucho),98311000-6 (Usługi odbierania prania)","{'6.2.)': 702379.2, '6.3.)': 702379.2, '6.4.)': 702379.2, '8.2.)': 702379.2}",1
345,Delivery,2023/BZP 00001606,True,Dostawa kart i licencji wraz z usługą aktualizacji oprogramowania urządzeń DWDM Nokia 1830 PSS-32 oraz systemu zarządzania Nokia NFM-T z podziałem na części,"32413100-2 (Rutery sieciowe),32523000-5 (Urządzenia telekomunikacyjne),48218000-9 (Pakiety oprogramowania zarządzającego licencjami),72265000-0 (Usługi konfiguracji oprogramowania),48821000-9 (Serwery sieciowe)","{'4.3.1)': 863804.0, '4.5.5.)': 369630.68, '6.2.)': 422613.09, '6.3.)': 422613.09, '6.4.)': 422613.09, '8.2.)': 422613.09}",2
346,Delivery,2023/BZP 00001612,True,"Bezgotówkowy, sukcesywny zakup paliw płynnych dla pojazdów i sprzętu mechanicznego będących na wyposażeniu Zarządu Dróg Powiatowych w Sandomierzu z/s w Samborcu w roku 2023","09134100-8 (Olej napędowy),09132100-4 (Benzyna bezołowiowa)","{'4.3.)': 220745.6, '6.2.)': 267364.6, '6.3.)': 267364.6, '6.4.)': 267364.6, '8.2.)': 267364.6}",1
347,Delivery,2023/BZP 00001613,True,dostawa urządzenia do śledzenia ścieżki wzrokowej - eyetracker wraz z oprogramowaniem - KC-zp.272-683/22,31644000-2 (Różne rejestratory danych),"{'6.2.)': 133500.51, '6.3.)': 133500.51, '6.4.)': 133500.51, '8.2.)': 133500.51}",1
348,Services,2023/BZP 00001623,True,Przewóz dzieci do placówek przedszkolnych w gminie Subkowy,"60100000-9 (Usługi w zakresie transportu drogowego),60112000-6 (Usługi w zakresie publicznego transportu drogowego),85312110-3 (Usługi opieki dziennej nad dziećmi)","{'4.3.)': 49480.2, '6.2.)': 249.9, '6.3.)': 305.91, '6.4.)': 249.9, '8.2.)': 49480.2}",1
349,Services,2023/BZP 00001635,True,Odbiór odpadów komunalnych z nieruchomości niezamieszkałych z terenu Gminy Brzostek,"90500000-2 (Usługi związane z odpadami),90511000-2 (Usługi wywozu odpadów),90512000-9 (Usługi transportu odpadów)","{'6.2.)': 108000.0, '6.3.)': 108000.0, '6.4.)': 108000.0, '8.2.)': 108000.0}",1
350,Services,2023/BZP 00001640,True,Prowadzenie punktu selektywnej zbiórki odpadów komunalnych ( tzw. PSZOK) na terenie Gminy Cieszyn,"98000000-3 (Inne usługi komunalne, socjalne i osobiste)",{'8.2.)': 233280.0},1
351,Delivery,2023/BZP 00001646,True,Zakup paliwa do samochodów służbowych i pojazdów będących w użytkowaniu Gminy Kwidzyn,"09130000-9 (Ropa naftowa i destylaty),09132000-3 (Benzyna),09134100-8 (Olej napędowy)","{'4.3.)': 189536.59, '6.2.)': 197960.0, '6.3.)': 197960.0, '6.4.)': 197960.0, '8.2.)': 192000.0}",1
352,Works,2023/BZP 00001656,True,"Zaprojektowanie, dostawa i montaż trzech instalacji
fotowoltaicznych na potrzeby infrastruktury wodnokanalizacyjnej w formule „zaprojektuj i wybuduj”","45000000-7 (Roboty budowlane),71220000-6 (Usługi projektowania architektonicznego),71320000-7 (Usługi inżynieryjne w zakresie projektowania),45111200-0 (Roboty w zakresie przygotowania terenu pod budowę i roboty ziemne),45111291-4 (Roboty w zakresie zagospodarowania terenu),45300000-0 (Roboty instalacyjne w budynkach),09331200-0 (Słoneczne moduły fotoelektryczne),45310000-3 (Roboty instalacyjne elektryczne),45311200-2 (Roboty w zakresie instalacji elektrycznych),45312310-3 (Ochrona odgromowa),45315700-5 (Instalowanie stacji rozdzielczych)","{'6.2.)': 657897.48, '6.3.)': 657897.48, '6.4.)': 657897.48, '8.2.)': 657897.48}",1
353,Works,2023/BZP 00001662,True,Zaprojektowanie i wykonanie robót budowlano-instalacyjnych związanych z wymianą źródła ciepła dla Wojewódzkiego Szpitala Zespolonego w Kielcach,"45000000-7 (Roboty budowlane),45100000-8 (Przygotowanie terenu pod budowę),45111200-0 (Roboty w zakresie przygotowania terenu pod budowę i roboty ziemne),45111230-9 (Roboty w zakresie stabilizacji gruntu),45111240-2 (Roboty w zakresie odwadniania gruntu),45111290-7 (Roboty przygotowawcze do świadczenia usług),45111291-4 (Roboty w zakresie zagospodarowania terenu),45112000-5 (Roboty w zakresie usuwania gleby),45113000-2 (Roboty na placu budowy),45210000-2 (Roboty budowlane w zakresie budynków),45230000-8 (Roboty budowlane w zakresie budowy rurociągów, linii komunikacyjnych i elektroenergetycznych, autostrad, dróg, lotnisk i kolei; wyrównywanie terenu),45231100-6 (Ogólne roboty budowlane związane z budową rurociągów),45231110-9 (Roboty budowlane w zakresie kładzenia rurociągów),45231220-3 (Roboty budowlane w zakresie gazociągów),45261000-4 (Wykonywanie pokryć i konstrukcji dachowych oraz podobne roboty),45262100-2 (Roboty przy wznoszeniu rusztowań),45262500-6 (Roboty murarskie i murowe),45300000-0 (Roboty instalacyjne w budynkach),45310000-3 (Roboty instalacyjne elektryczne),45311100-1 (Roboty w zakresie okablowania elektrycznego),45312000-7 (Instalowanie systemów alarmowych i anten),45314300-4 (Instalowanie infrastruktury okablowania),45315700-5 (Instalowanie stacji rozdzielczych),45317100-3 (Instalowanie elektrycznych urządzeń pompowych),45317400-6 (Instalowanie urządzeń filtrujących),45320000-6 (Roboty izolacyjne),45321000-3 (Izolacja cieplna),45330000-9 (Roboty instalacyjne wodno-kanalizacyjne i sanitarne),45331000-6 (Instalowanie urządzeń grzewczych, wentylacyjnych i klimatyzacyjnych),45331100-7 (Instalowanie centralnego ogrzewania),45331110-0 (Instalowanie kotłów),45331200-8 (Instalowanie urządzeń wentylacyjnych i klimatyzacyjnych),45332000-3 (Roboty instalacyjne wodne i kanalizacyjne),45333000-0 (Roboty instalacyjne gazowe),45400000-1 (Roboty wykończeniowe w zakresie obiektów budowlanych),45421000-4 (Roboty w zakresie stolarki budowlanej),45410000-4 (Tynkowanie),45440000-3 (Roboty malarskie i szklarskie),45450000-6 (Roboty budowlane wykończeniowe, pozostałe),51112100-1 (Usługi instalowania sprzętu do przesyłu energii elektrycznej),71221000-3 (Usługi architektoniczne w zakresie obiektów budowlanych),71248000-8 (Nadzór nad projektem i dokumentacją),71251000-2 (Usługi architektoniczne i dotyczące pomiarów budynków),71320000-7 (Usługi inżynieryjne w zakresie projektowania)","{'4.3.)': 10784238.63, '6.2.)': 12841200.0, '6.3.)': 12900240.0, '6.4.)': 12841200.0, '8.2.)': 12841200.0}",1
354,Delivery,2023/BZP 00001664,True,Sukcesywna dostawa artykułów spożywczych do stołówki Szkoły Podstawowej nr 3 im. Feliksa Szołdrskiego w Nowym Tomyślu,"15100000-9 (Produkty zwierzęce, mięso i produkty mięsne),15500000-3 (Produkty mleczarskie),03221000-6 (Warzywa),15300000-1 (Owoce, warzywa i podobne produkty),15220000-6 (Ryby mrożone, filety rybne i pozostałe mięso ryb),15800000-6 (Różne produkty spożywcze)","{'4.3.1)': 338547.34, '4.5.5.)': 12725.36, '6.2.)': 11232.8, '6.3.)': 11232.8, '6.4.)': 11232.8, '8.2.)': 11232.8}",7
356,Services,2023/BZP 00001674,True,Świadczenie pełnej usługi oświetleniowej na terenie Gminy Kamieniec na urządzeniach stanowiących własność ENEA Oświetlenie sp. z o.o.,"50232100-1 (Usługi w zakresie konserwacji oświetlenia ulicznego),09300000-2 (Energia elektryczna, cieplna, słoneczna i jądrowa),65310000-9 (Przesył energii elektrycznej)","{'6.2.)': 696348.13, '6.3.)': 696348.13, '6.4.)': 696348.13, '8.2.)': 696348.13}",1
357,Works,2023/BZP 00001676,True,Zaprojektowanie i wykonanie awaryjnego zrzutu wody ze zbiornika retencyjnego na stadionie miejskim w Łodzi przy al. Unii Lubelskiej 2.,"45212224-2 (Roboty budowlane związane ze stadionami),71000000-8 (Usługi architektoniczne, budowlane, inżynieryjne i kontrolne),71320000-7 (Usługi inżynieryjne w zakresie projektowania),45111100-9 (Roboty w zakresie burzenia),45330000-9 (Roboty instalacyjne wodno-kanalizacyjne i sanitarne),45310000-3 (Roboty instalacyjne elektryczne)",{},1
358,Services,2023/BZP 00001678,True,"„Zagospodarowanie odpadów o kodzie 15 01 06 - zmieszane odpady opakowaniowe, znajdujących się na Instalacji Przetwarzania Odpadów Komunalnych w Rudzie, gm. Wieluń”","90500000-2 (Usługi związane z odpadami),90511000-2 (Usługi wywozu odpadów),90513000-6 (Usługi obróbki i usuwania odpadów, które nie są niebezpieczne),90514000-3 (Usługi recyklingu odpadów)","{'4.3.)': 335664.0, '6.2.)': 317040.0, '6.3.)': 544800.0, '6.4.)': 317040.0, '8.2.)': 317040.0}",1
359,Works,2023/BZP 00001684,True,Wykonanie infrastruktury w ramach ścieżki spacerowo-przyrodniczej w miejscowości,"45111200-0 (Roboty w zakresie przygotowania terenu pod budowę i roboty ziemne),45223500-1 (Konstrukcje z betonu zbrojonego),45212221-1 (Roboty budowlane związane z obiektami na terenach sportowych),45248000-7 (Budowa konstrukcji hydromechanicznych),45223100-7 (Montaż konstrukcji metalowych),45342000-6 (Wznoszenie ogrodzeń)","{'4.5.5.)': 346527.03, '6.2.)': 258812.73, '6.3.)': 503445.24, '6.4.)': 258812.73, '8.2.)': 258812.73}",2
360,Delivery,2023/BZP 00001686,True,Dostawa wyposażenia w ramach projektu „Dziedzictwo kulturowe gminy Wohyń - przebudowa domów ludowych”,"30213000-5 (Komputery osobiste),30213100-6 (Komputery przenośne),48600000-4 (Pakiety oprogramowania dla baz danych i operacyjne),30232100-5 (Drukarki i plotery),39130000-2 (Meble biurowe),39112100-1 (Krzesła stołowe),30195000-2 (Tablice),39121200-8 (Stoły),39121100-7 (Biurka)","{'4.5.5.)': 69956.25, '6.2.)': 69956.25, '6.3.)': 253011.0, '6.4.)': 69956.25, '8.2.)': 69956.25}",2
361,Delivery,2023/BZP 00001688,True,"Dostawa fabrycznie nowego, przelotowego sterylizatora parowego wraz ze stacją zmiękczającą i wózkiem transportowym do materiałów sterylnych dla NZOZ Szpital im. prof. Z. Religi w Słubicach Sp. z o. o.",33191110-9 (Autoklawy),"{'4.3.)': 199120.52, '6.2.)': 210875.0, '6.3.)': 210875.0, '6.4.)': 210875.0, '8.2.)': 210875.0}",1
363,Delivery,2023/BZP 00001700,True,Dostawa artykułów żywnościowych do Domu Pomocy Społecznej Wójtowska w Warszawie na rok 2023,"15800000-6 (Różne produkty spożywcze),15200000-0 (Ryby przetworzone i konserwowane),03142500-3 (Jaja),15331170-9 (Warzywa mrożone),15100000-9 (Produkty zwierzęce, mięso i produkty mięsne),15884000-8 (Produkty dla niemowląt),15500000-3 (Produkty mleczarskie),15810000-9 (Pieczywo, świeże wyroby piekarskie i ciastkarskie),15300000-1 (Owoce, warzywa i podobne produkty),03222110-7 (Owoce tropikalne)","{'4.3.)': 486016.5, '4.3.1)': 436016.5, '4.5.5.)': 61798.27, '6.2.)': 75109.0, '6.3.)': 79585.0, '6.4.)': 75109.0, '8.2.)': 75109.0}",8
364,Delivery,2023/BZP 00001701,True,Dostawa artykułów spożywczych do Domu Pomocy Społecznej w Prószkowie,"03142500-3 (Jaja),03200000-3 (Zboża, ziemniaki, warzywa, owoce i orzechy),15131600-1 (Produkty wołowe i cielęce),15100000-9 (Produkty zwierzęce, mięso i produkty mięsne),15234000-7 (Ryby wędzone),15894300-4 (Dania gotowe)","{'6.2.)': 31090.5, '6.4.)': 31090.5, '8.2.)': 31090.5, '6.3.)': 125044.5}",3
365,Works,2023/BZP 00001722,True,Modernizacja i rozbudowa Piskiego Domu Kultury,"45223000-6 (Roboty budowlane w zakresie konstrukcji),45111000-8 (Roboty w zakresie burzenia, roboty ziemne),45111300-1 (Roboty rozbiórkowe),45223100-7 (Montaż konstrukcji metalowych),45233222-1 (Roboty budowlane w zakresie układania chodników i asfaltowania),45261000-4 (Wykonywanie pokryć i konstrukcji dachowych oraz podobne roboty),45310000-3 (Roboty instalacyjne elektryczne),45311100-1 (Roboty w zakresie okablowania elektrycznego),45312100-8 (Instalowanie przeciwpożarowych systemów alarmowych),45317000-2 (Inne instalacje elektryczne),45321000-3 (Izolacja cieplna),45331100-7 (Instalowanie centralnego ogrzewania),45331200-8 (Instalowanie urządzeń wentylacyjnych i klimatyzacyjnych),45332000-3 (Roboty instalacyjne wodne i kanalizacyjne),45410000-4 (Tynkowanie),45421000-4 (Roboty w zakresie stolarki budowlanej),45432110-8 (Kładzenie podłóg)","{'4.3.)': 12577462.34, '6.2.)': 22487211.53, '6.3.)': 22939500.0, '6.4.)': 22487211.53, '8.2.)': 22487211.53}",1
366,Delivery,2023/BZP 00001724,True,Dostawa i montaż mebli oraz wyposażenia do mieszkań przy ul. Bydgoskiej 74 – Etap II.,"39000000-2 (Meble (włącznie z biurowymi), wyposażenie, urządzenia domowe (z wyłączeniem oświetlenia) i środki czyszczące),39143110-0 (Łóżka i kanapy oraz specjalne meble tapicerowane),39141300-5 (Szafy),39121000-6 (Biurka i stoły),39710000-2 (Elektryczny sprzęt gospodarstwa domowego),39110000-6 (Siedziska, krzesła i produkty z nimi związane, i ich części),39290000-1 (Wyposażenie różne),38622000-1 (Lustra),30213300-8 (Komputer biurkowy),48624000-8 (Pakiety oprogramowania dla systemów operacyjnych komputerów osobistych (PC)),72265000-0 (Usługi konfiguracji oprogramowania)","{'4.3.1)': 70648.39, '4.5.5.)': 9080.19, '6.2.)': 11819.07, '6.3.)': 55350.0, '6.4.)': 11819.07, '8.2.)': 11819.07}",1
367,Services,2023/BZP 00001726,True,„Wykonanie usługi w zakresie wywozu stałych odpadów komunalnych na potrzeby wszystkich obiektów zarządzanych przez MAKiS Sp. z o.o. wraz z udostępnieniem pojemników na odpady.”,"90511000-2 (Usługi wywozu odpadów),34928480-6 (Pojemniki i kosze na odpady i śmieci)","{'6.2.)': 549358.2, '6.3.)': 549358.2, '6.4.)': 549358.2, '8.2.)': 549358.2}",1
368,Delivery,2023/BZP 00001729,True,"„Sukcesywna dostawa paliw płynnych dla potrzeb  
Powiatowego Zarządu Dróg w Hrubieszowie”","09132100-4 (Benzyna bezołowiowa),09134100-8 (Olej napędowy)","{'4.3.)': 892098.49, '6.2.)': 860640.0, '6.3.)': 866560.0, '6.4.)': 860640.0, '8.2.)': 860640.0}",1
