,orderType,bzpNumber,isTenderAmountBelowEU,orderObject,cpvCode,htmlBody,contractors
2942,Delivery,2023/BZP 00014470,True,Zakup owoców i warzyw wraz z dostawą do przedszkola gminnego,"15300000-1 (Owoce, warzywa i podobne produkty)","{'6.2.)': 297405.0, '6.3.)': 345442.3, '6.4.)': 297405.0, '8.2.)': 297405.0}",1
2943,Services,2023/BZP 00014474,True,"(2) Świadczenie usług ochrony fizycznej mienia i osób na terenie nieruchomości zlokalizowanej w Chorzowie,
Promenada Gen. Jerzego Ziętka 7",79710000-4 (Usługi ochroniarskie),"{'4.3.)': 781300.0, '6.2.)': 918596.75, '6.3.)': 997297.53, '6.4.)': 918596.75, '8.2.)': 847088.02}",1
2944,Works,2023/BZP 00014481,True,Wykonanie konserwacji rowów w pasie dróg powiatowych Powiatu Pruszkowskiego,45233141-9 (Roboty w zakresie konserwacji dróg),"{'6.2.)': 231240.0, '6.3.)': 329025.0, '6.4.)': 231240.0}",1
2945,Services,2023/BZP 00014482,True,"„Usługi konwojowania wartości pieniężnych będących w dyspozycji ZTM w Kielcach""",79710000-4 (Usługi ochroniarskie),"{'4.3.)': 87804.88, '6.2.)': 97170.0, '6.3.)': 97170.0, '6.4.)': 97170.0, '8.2.)': 97170.0}",1
2946,Services,2023/BZP 00014493,True,Świadczenie usług pocztowych w obrocie krajowym i zagranicznym  na rzecz Urzędu Pracy Powiatu Olsztyńskiego w roku 2023,64110000-0 (Usługi pocztowe),"{'6.2.)': 195572.7, '6.3.)': 195572.7, '6.4.)': 195572.7, '8.2.)': 195572.7}",1
2947,Services,2023/BZP 00014495,True,Transport i odbiór zwierząt padłych w wyniku zdarzenia komunikacyjnego bądź innego na drogach wojewódzkich Województwa Podlaskiego w 2023r. z podziałem na zadania.,90524300-9 (Usługi usuwania odpadów biologicznych),"{'4.5.5.)': 109200.0, '6.2.)': 64800.0, '6.3.)': 106272.0, '6.4.)': 64800.0, '8.2.)': 64800.0}",5
2948,Services,2023/BZP 00014497,True,Kompleksowa usługa utrzymania czystości w budynku Hali Widowiskowo Sportowej „Grupa Azoty Arena” przy ul. Lubelskiej 59 w Puławach,"90910000-9 (Usługi sprzątania),90911200-8 (Usługi sprzątania budynków),90911300-9 (Usługi czyszczenia okien)","{'6.2.)': 168854.4, '6.3.)': 486120.6, '6.4.)': 168854.4, '8.2.)': 168854.4}",1
2949,Delivery,2023/BZP 00014498,True,Kompleksowa dostawa (sprzedaż i dystrybucja) gazu ziemnego,"09123000-7 (Gaz ziemny),65200000-5 (Przesył gazu i podobne usługi)","{'6.2.)': 238048.47, '6.3.)': 238048.47, '6.4.)': 238048.47, '8.2.)': 238048.47}",1
2950,Delivery,2023/BZP 00014499,True,Dostawa samochodu osobowego dla Politechniki Gdańskiej.,34110000-1 (Samochody osobowe),"{'4.3.1)': 324667.58, '6.2.)': 369824.1}",1
2951,Delivery,2023/BZP 00014500,True,ZP/TP/2022/51-dezynfekcja II,33631600-8 (Środki antyseptyczne i dezynfekcyjne),"{'4.3.)': 447531.8, '4.5.5.)': 129600.0, '6.2.)': 63957.6, '6.3.)': 89424.0, '6.4.)': 63957.6, '8.2.)': 63957.6}",8
2952,Services,2023/BZP 00014501,True,"Wykonanie usługi dowozu uczniów do placówek oświatowych oraz przedszkoli   na terenie gminy    
     Morzeszczyn na podstawie biletów miesięcznych  w  okresie od 02.01.2023 – 28.06.2024",60130000-8 (Usługi w zakresie specjalistycznego transportu drogowego osób),"{'6.2.)': 384005.42, '6.3.)': 413370.0, '6.4.)': 384005.42, '8.2.)': 384005.42}",1
2953,Delivery,2023/BZP 00014505,True,Dostawa ryb i przetworów rybnych dla 42 BLSz oraz jednostek będących na jej zaopatrzeniu w 2023 r.,"03311000-2 (Ryby),15243000-3 (Przetwory z ryb)","{'4.5.5.)': 23352.86, '6.2.)': 25255.0, '6.3.)': 25255.0, '6.4.)': 25255.0, '8.2.)': 25255.0}",4
2954,Services,2023/BZP 00014506,True,Usługi cateringowe dla 30 podopiecznych Dziennego Domu Pobytu (Dziennego Domu Senior+)w Gminie Lipno,"55520000-1 (Usługi dostarczania posiłków),55321000-6 (Usługi przygotowywania posiłków),55322000-3 (Usługi gotowania posiłków)","{'4.3.)': 348333.33, '6.2.)': 326700.0, '6.3.)': 366300.0, '6.4.)': 326700.0, '8.2.)': 326700.0}",1
2955,Services,2023/BZP 00014514,True,"Świadczenie usług medycznych w ramach medycyny pracy – dla żołnierzy zawodowych, pracowników jednostek i instytucji wojskowych będących na zaopatrzeniu 32 WOG w Zamościu w zakresie 4 części.",85121000-3 (Usługi medyczne),"{'4.3.)': 623406.42, '4.5.5.)': 43149.6, '6.2.)': 1303.0, '6.3.)': 1303.0, '6.4.)': 1303.0, '8.2.)': 45000.0}",3
2956,Works,2023/BZP 00014516,True,Zaprojektowanie i budowa systemu automatycznego nawadniania boisk wraz z rekultywacją terenu i montażem niezbędnej infrastruktury na stadionie Unii Racibórz.,"45212224-2 (Roboty budowlane związane ze stadionami),45220000-5 (Roboty inżynieryjne i budowlane),71000000-8 (Usługi architektoniczne, budowlane, inżynieryjne i kontrolne)","{'4.3.)': 504065.04, '6.2.)': 619000.0, '6.3.)': 2234910.0, '6.4.)': 619000.0, '8.2.)': 619000.0}",1
2957,Services,2023/BZP 00014517,True,Usługi całodobowej bezpośredniej ochrony fizycznej oraz interwencji wobec osoby lub osób naruszających dobra osobiste i mienie w WOLOiZOL  w Gorzycach,79710000-4 (Usługi ochroniarskie),"{'4.3.)': 226307.3, '6.2.)': 268292.52, '6.3.)': 363110.76, '6.4.)': 268292.52, '8.2.)': 268292.52}",1
2958,Services,2023/BZP 00014519,True,Objęcie nadzorem autorskim oprogramowania aplikacyjnego InfoMedica/AMMS w Szpitalu Lipno Sp. z o.o.,"72000000-5 (Usługi informatyczne: konsultacyjne, opracowywania oprogramowania, internetowe i wsparcia)","{'6.2.)': 287853.21, '6.3.)': 287853.21, '6.4.)': 287853.21, '8.2.)': 287853.21}",1
2959,Services,2023/BZP 00014520,True,"Świadczenie usług pocztowych w obrocie krajowym i zagranicznym w zakresie przyjmowania, przemieszczania i doręczania przesyłek pocztowych i zwrotów w okresie 12 miesięcy",64110000-0 (Usługi pocztowe),"{'4.3.)': 117143.82, '6.2.)': 105765.9, '6.3.)': 105765.9, '6.4.)': 105765.9, '8.2.)': 144086.89}",1
2960,Delivery,2023/BZP 00014524,True,"Sukcesywne dostawy produktów żywnościowych – pieczywa, ciast i wyrobów cukierniczych","15811000-6 (Pieczywo),15812000-3 (Wyroby ciastkarskie i ciasta),15812200-5 (Ciasta)","{'4.5.5.)': 93096.59, '6.2.)': 55161.0, '6.3.)': 96045.0, '6.4.)': 55161.0, '8.2.)': 55161.0}",2
2961,Services,2023/BZP 00014531,True,„Sukcesywny odbiór i zagospodarowanie paliwa alternatywnego RDF o kodzie 19-12-10”,90514000-3 (Usługi recyklingu odpadów),{},1
2962,Delivery,2023/BZP 00014534,True,Dostawa materiałów eksploatacyjnych dla Urzędu Miasta Płocka w 2023 roku.,30125000-1 (Części i akcesoria do aparatów fotokopiujących),"{'6.2.)': 327281.0, '6.3.)': 420823.6, '6.4.)': 327281.0, '8.2.)': 327281.0}",1
2963,Services,2023/BZP 00014535,True,Świadczenie usług przewozowych transportu zbiorowego dla potrzeb komunikacji miejskiej w Gminie Gryfice,60112000-6 (Usługi w zakresie publicznego transportu drogowego),"{'6.2.)': 996415.35, '6.3.)': 996415.35, '6.4.)': 996415.35, '8.2.)': 996415.35}",1
2965,Delivery,2023/BZP 00014539,True,"Wykonanie, dostawa tablic rejestracyjnych do  Starostwa Powiatowego w Bełchatowie, odbiór na własny koszt wycofanych  z użytkowania tablic, dokonanie ich zniszczenia i zagospodarowania w 2023 roku","30195000-2 (Tablice),34928470-3 (Elementy oznakowania),14721000-1 (Glin),90533000-2 (Usługi gospodarki odpadami)","{'6.2.)': 209455.47, '6.3.)': 226488.53, '6.4.)': 209455.47, '8.2.)': 209455.47}",1
2967,Services,2023/BZP 00014549,True,Świadczenie dla Gminy Kcynia powszechnych usług pocztowych w obrocie krajowym i zagranicznym w roku 2023,"64110000-0 (Usługi pocztowe),64120000-3 (Usługi kurierskie)","{'6.4.)': 186250.58, '8.2.)': 186250.58}",1
2969,Services,2023/BZP 00014560,True,Przedmiotem zamówienia jest świadczenie usług w zakresie transportu sanitarnego pacjentów.,"60130000-8 (Usługi w zakresie specjalistycznego transportu drogowego osób),60112000-6 (Usługi w zakresie publicznego transportu drogowego)","{'4.3.)': 514840.0, '4.5.5.)': 145440.0, '6.2.)': 177535.8, '6.3.)': 248903.28, '6.4.)': 177535.8, '8.2.)': 177535.8}",4
2971,Delivery,2023/BZP 00014568,True,"Dostawa produktów żywnościowych do stołówki przedszkolnej 
w Zespole Szkolno – Przedszkolnym w Otrębusach przy 
ul. Piaseckiego 2.","15600000-4 (Produkty przemiału ziarna, skrobi i produktów skrobiowych),15872300-4 (Zioła),15820000-2 (Sucharki i herbatniki; wyroby piekarskie i ciastkarskie o przedłużonej trwałości),15840000-8 (Kakao; czekolada i wyroby cukiernicze),03142500-3 (Jaja),15511000-3 (Mleko),15542100-0 (Ser twarogowy),15512300-3 (Śmietana pełnotłusta),15551320-4 (Jogurt z dodatkiem substancji smakowych),15332100-5 (Przetworzone owoce),15331170-9 (Warzywa mrożone),15220000-6 (Ryby mrożone, filety rybne i pozostałe mięso ryb),15112000-6 (Drób),15100000-9 (Produkty zwierzęce, mięso i produkty mięsne),03200000-3 (Zboża, ziemniaki, warzywa, owoce i orzechy),03221000-6 (Warzywa),15810000-9 (Pieczywo, świeże wyroby piekarskie i ciastkarskie)","{'4.3.)': 185000.0, '4.3.1)': 96408.09, '4.5.5.)': 11415.0, '6.2.)': 14453.0, '6.3.)': 14453.0, '6.4.)': 14453.0, '8.2.)': 14453.0}",7
2973,Services,2023/BZP 00014571,True,"""Świadczenie usługi oświetlenia ulic, placów, dróg na terenie Gminy Libiąż w 2023 roku.""",50232110-4 (Obsługa instalacji oświetlenia publicznego),"{'4.3.)': 259868.7, '6.2.)': 334844.19, '6.3.)': 334844.19, '6.4.)': 334844.19, '8.2.)': 334844.19}",1
2976,Services,2023/BZP 00014580,True,Zakup usługi związanej z oczyszczaniem mechanicznym ulic i placów gminnych na terenie miasta Jarosławia wraz z opróżnianiem koszy ulicznych przy tych ulicach.,"90610000-6 (Usługi sprzątania i zamiatania ulic),90511000-2 (Usługi wywozu odpadów)","{'4.3.)': 466666.67, '6.2.)': 503999.96, '6.3.)': 503999.96, '6.4.)': 503999.96, '8.2.)': 504000.0}",1
2978,Works,2023/BZP 00014584,True,Budowa Gminnego Centrum Ratownictwa w Woli Uhruskiej,"45000000-7 (Roboty budowlane),45112000-5 (Roboty w zakresie usuwania gleby),45216120-1 (Roboty budowlane w zakresie budowy obiektów dla służb ratunkowych),45260000-7 (Roboty w zakresie wykonywania pokryć i konstrukcji dachowych i inne podobne roboty specjalistycze),45400000-1 (Roboty wykończeniowe w zakresie obiektów budowlanych),45410000-4 (Tynkowanie),45421000-4 (Roboty w zakresie stolarki budowlanej),45430000-0 (Pokrywanie podłóg i ścian),45440000-3 (Roboty malarskie i szklarskie),45233250-6 (Roboty w zakresie nawierzchni, z wyjątkiem dróg),45342000-6 (Wznoszenie ogrodzeń),45232000-2 (Roboty pomocnicze w zakresie rurociągów i kabli),45300000-0 (Roboty instalacyjne w budynkach),45311000-0 (Roboty w zakresie okablowania oraz instalacji elektrycznych),45316000-5 (Instalowanie systemów oświetleniowych i sygnalizacyjnych)","{'4.3.)': 2478262.54, '6.2.)': 3144298.2, '6.4.)': 3144298.2, '8.2.)': 3144298.2}",1
2979,Services,2023/BZP 00014586,True,"Usługi pocztowe związane z wysyłką korespondencji w okresie od dnia zawarcia umowy  do 31.12.2023 roku na potrzeby Starostwa Powiatowego 
w Tomaszowie Mazowieckim",64110000-0 (Usługi pocztowe),"{'6.2.)': 381898.5, '6.3.)': 381898.5, '6.4.)': 381898.5, '8.2.)': 381898.5}",1
2980,Delivery,2023/BZP 00014588,True,DOSTAWY TŁUSZCZU ROŚLINNEGO DO SMAROWANIA PIECZYWA,15431200-0 (Beztłuszczowe lub niskotłuszczowe produkty do smarowania),"{'6.2.)': 147000.0, '6.3.)': 176400.0, '6.4.)': 147000.0, '8.2.)': 147000.0}",1
2981,Services,2023/BZP 00014589,True,"Serwisowanie, prace naprawcze i konserwacyjne dźwigów osobowych i towarowych z usługą pogotowia technicznego i dokonaniem wymaganych przeglądów technicznych.","50750000-7 (Usługi w zakresie konserwacji wind),71356100-9 (Usługi kontroli technicznej)","{'4.3.)': 387888.03, '4.5.5.)': 35832.11, '6.2.)': 42999.27, '6.3.)': 43600.0, '6.4.)': 42999.27, '8.2.)': 44073.5}",3
2982,Delivery,2023/BZP 00014600,True,"Wykonanie instalacji fotowoltaicznej wraz z dokumentacją projektowo-techniczną od 49,5 kWp do 50 kWp na działce nr 393/2 przy infrastrukturze Stacji Uzdatniania Wody w miejscowości Borchów.",09332000-5 (Instalacje słoneczne),{},1
2983,Works,2023/BZP 00014603,True,Remont laboratorium nr 537 w budynku W-12 (10-35) Wydziału Inżynierii i Technologii Chemicznej Politechniki Krakowskiej przy ul. Warszawskiej 24 w Krakowie.,"45400000-1 (Roboty wykończeniowe w zakresie obiektów budowlanych),45330000-9 (Roboty instalacyjne wodno-kanalizacyjne i sanitarne),45453000-7 (Roboty remontowe i renowacyjne),45310000-3 (Roboty instalacyjne elektryczne)","{'6.2.)': 274008.13, '6.3.)': 397203.9, '6.4.)': 274008.13, '8.2.)': 274008.13}",1
2984,Delivery,2023/BZP 00014605,True,Dostawa paliw płynnych dla potrzeb Przedsiębiorstwa Oczyszczania Miasta w Gostyninie Sp. z o. o. w 2023.,09134100-8 (Olej napędowy),"{'4.3.)': 276815.0, '6.2.)': 264600.0, '6.3.)': 264600.0, '6.4.)': 264600.0, '8.2.)': 264600.0}",1
2985,Delivery,2023/BZP 00014607,True,Zakup wyposażenia IT dla redundantnego centrum archiwizacji danych,"30200000-1 (Urządzenia komputerowe),30233000-1 (Urządzenia do przechowywania i odczytu danych)","{'4.3.)': 2470944.39, '4.3.1)': 160794.89, '6.2.)': 228780.0, '6.3.)': 235992.97, '6.4.)': 235992.97, '8.2.)': 235992.97}",1
2986,Delivery,2023/BZP 00014611,True,",,Dostawa żywności do stołówki przy Szkolnym Schronisku Młodzieżowym
w Krośnicach – 2023 r. – II etap”","15300000-1 (Owoce, warzywa i podobne produkty),15800000-6 (Różne produkty spożywcze),15330000-0 (Przetworzone owoce i warzywa),15411000-2 (Oleje zwierzęce lub roślinne),15600000-4 (Produkty przemiału ziarna, skrobi i produktów skrobiowych),15830000-5 (Cukier i produkty pokrewne),15851100-9 (Makaron niegotowany),15870000-7 (Przyprawy i przyprawy korzenne),15500000-3 (Produkty mleczarskie)","{'6.2.)': 150701.81, '6.3.)': 150701.81, '6.4.)': 150701.81, '8.2.)': 150701.81}",4
2987,Delivery,2023/BZP 00014614,True,Zakup i dostawa materiałów papierniczych dla Urzędu Miasta Płocka w 2023 roku.,"22800000-8 (Rejestry, księgi rachunkowe, skoroszyty, formularze i inne wyroby piśmiennicze z papieru lub tektury)","{'4.3.1)': 79139.06, '6.2.)': 129128.0, '6.3.)': 129128.0, '6.4.)': 129128.0, '8.2.)': 129128.0}",1
2988,Services,2023/BZP 00014617,True,„Odbiór i transport odpadów komunalnych z nieruchomości zamieszkałych położonych na terenie Gminy Zagórz”,"90511000-2 (Usługi wywozu odpadów),90511300-5 (Usługi zbierania śmieci),90513100-7 (Usługi wywozu odpadów pochodzących z gospodarstw domowych),90511200-4 (Usługi gromadzenia odpadów pochodzących z gospodarstw domowych),90514000-3 (Usługi recyklingu odpadów),90000000-7 (Usługi odbioru ścieków, usuwania odpadów, czyszczenia/sprzątania i usługi ekologiczne),90500000-2 (Usługi związane z odpadami)","{'4.5.5.)': 151129.0, '6.2.)': 856563.01, '6.3.)': 856563.01, '6.4.)': 856563.01, '8.2.)': 856563.01}",1
2989,Services,2023/BZP 00014618,True,Pełnienie funkcji inspektora nadzoru przy realizacji inwestycji pn. Rewitalizacja miejscowości Strawczyn. Wykreowanie nowego produktu turystycznego nad zalewem w Strawczynie – zagospodarowanie terenu,71247000-1 (Nadzór nad robotami budowlanymi),"{'4.3.)': 248982.86, '4.3.1)': 59216.5, '6.2.)': 19858.13, '6.3.)': 47355.0, '6.4.)': 19858.13, '8.2.)': 19858.13}",1
2990,Delivery,2023/BZP 00014622,True,dostawa asortymentu meblowego do Uniwersytetu Szczecińskiego,39130000-2 (Meble biurowe),"{'6.2.)': 18388.5, '6.3.)': 19606.2, '6.4.)': 18388.5, '8.2.)': 18388.5}",1
2991,Services,2023/BZP 00014624,True,Zarządzanie mieszkaniowym zasobem Gminy Pniewy,70330000-3 (Usługi zarządzania nieruchomościami na zasadzie bezpośredniej płatności lub umowy),"{'4.3.)': 357652.2, '8.2.)': 357652.2}",1
2992,Services,2023/BZP 00014625,True,"Usługa wyłapywania, przejęcia i zapewnienia kompleksowej opieki bezdomnym psom z terenu Miasta i Gminy Morawica w 2023 r.","98380000-0 (Usługi psiarni),85200000-1 (Usługi weterynaryjne),85210000-3 (Ośrodki pielęgnowania zwierząt domowych)","{'4.3.)': 131944.44, '6.2.)': 142500.0, '6.3.)': 221400.0, '6.4.)': 142500.0, '8.2.)': 142500.0}",1
2993,Delivery,2023/BZP 00014627,True,Modernizacja serwerowni i sieci teleinformatycznej w Urzędzie Gminy w ramach grantu „Cyfrowa Gmina”,"48821000-9 (Serwery sieciowe),48822000-6 (Serwery komputerowe),48823000-3 (Serwery plików)","{'6.2.)': 132489.38, '6.3.)': 132489.38, '6.4.)': 132489.38, '8.2.)': 132489.38}",1
2994,Services,2023/BZP 00014630,True,"usługi stacjonarnej ochrony fizycznej terenu, obiektów i mienia IOR-PIB w Poznaniu  oraz usługi stacjonarnej i zdalnej ochrony fizycznej terenu, obiektów i mienia IOR-PIB w Sośnicowicach",79710000-4 (Usługi ochroniarskie),"{'4.3.)': 444805.7, '4.5.5.)': 228355.7, '6.2.)': 165704.62, '6.3.)': 490949.0, '6.4.)': 267861.53, '8.2.)': 267861.53}",1
2995,Delivery,2023/BZP 00014631,True,Dostawa materiałów do budowy sieci wodociągowych w miejscowościach Łoźnik i Wojnity,"44160000-9 (Rurociągi, instalacje rurowe, rury, okładziny rurowe, rury i podobne elementy),44163000-0 (Rury i osprzęt)","{'4.5.5.)': 156000.0, '6.2.)': 154048.02, '6.3.)': 166001.3, '6.4.)': 166001.3, '8.2.)': 166001.3}",2
2996,Delivery,2023/BZP 00014635,True,"Przedmiot zamówienia dotyczy dostawy produktów żywnościowych – mięsa i wędlin, opisanych w SIWZ, do Domu
Zdrojowego w Szczawnie-Zdroju transportem Wykonawcy lub na jego koszt.","15000000-8 (Żywność, napoje, tytoń i produkty pokrewne)","{'4.3.1)': 229131.98, '6.2.)': 227673.32, '6.3.)': 260914.5, '6.4.)': 227673.32, '8.2.)': 227673.32}",1
2997,Delivery,2023/BZP 00014636,True,Dostawa produktów  spożywczych do Domu Pomocy Społecznej w Moszczanach,"15000000-8 (Żywność, napoje, tytoń i produkty pokrewne)","{'4.3.)': 306439.56, '4.5.5.)': 41832.44, '6.2.)': 30985.72, '6.3.)': 32072.83, '6.4.)': 30985.72, '8.2.)': 30985.72}",5
2998,Services,2023/BZP 00014637,True,Serwis i nadzór autorski nad prawidłowością funkcjonowania oprogramowania Ratusz- zintegrowanego systemu zarządzania Gminą Mikołów,"71356300-1 (Usługi wsparcia technicznego),72266000-7 (Usługi doradcze w zakresie oprogramowania),72267000-4 (Usługi w zakresie konserwacji i napraw oprogramowania)","{'4.3.)': 176000.0, '6.3.)': 202212.0, '6.4.)': 202212.0, '8.2.)': 202212.0}",1
2999,Delivery,2023/BZP 00014638,True,Dostawa produktów leczniczych,33652000-5 (Środki przeciwnowotworowe i immunomodulacyjne),"{'6.2.)': 315426.91, '6.3.)': 315426.91, '6.4.)': 315426.91, '8.2.)': 315426.91}",1
3000,Services,2023/BZP 00014643,True,"Świadczenie usług pocztowych w zakresie odbierania, przemieszczania i doręczania przesyłek pocztowych na potrzeby Urzędu Miejskiego w Białej Piskiej na 2023 roku","64110000-0 (Usługi pocztowe),64112000-4 (Usługi pocztowe dotyczące listów),64113000-1 (Usługi pocztowe dotyczące paczek)","{'4.3.)': 228836.5, '6.2.)': 228874.91, '6.3.)': 228874.91, '6.4.)': 228874.91, '8.2.)': 228874.91}",1
3001,Delivery,2023/BZP 00014644,True,Dostawa energii elektrycznej i świadczenie usługi dystrybucyjnej dla Gminy i Miasta Szadek oraz jednostek podległych,"09310000-5 (Elektryczność),65310000-9 (Przesył energii elektrycznej)","{'6.2.)': 1317803.68, '6.3.)': 1317803.68, '6.4.)': 1317803.68, '8.2.)': 1317803.68}",1
3002,Services,2023/BZP 00014649,True,"Administrowanie cmentarzami komunalnymi położonymi na Zajezierzu tzw. ,,Parleta’’ oraz na ul. Nowowiejskiego i ul. Kochanowskiego",98371111-5 (Usługi utrzymania cmentarzy),"{'4.3.)': 139837.4, '6.2.)': 166999.92, '6.3.)': 166999.92, '6.4.)': 166999.92, '8.2.)': 166999.92}",1
3003,Delivery,2023/BZP 00014650,True,Dostawa oleju do celów grzewczych do Oddziału Terenowego w Piotrkowie Trybunalskim,09135100-5 (Olej opałowy),"{'6.2.)': 62082.69, '6.3.)': 62082.69, '6.4.)': 62082.69, '8.2.)': 62082.69}",1
3005,Services,2023/BZP 00014652,True,Świadczenie usługi w zakresie przeglądów technicznych i walidacji wraz z gotowością do usuwania awarii urządzeń będących na stanie RCKiK Poznań i w Oddziałach Terenowych.,50421000-2 (Usługi w zakresie napraw i konserwacji sprzętu medycznego),"{'4.3.)': 190233.96, '4.5.5.)': 11000.0, '6.2.)': 1808.1, '6.3.)': 2049.18, '6.4.)': 1808.1, '8.2.)': 1808.1}",13
3006,Services,2023/BZP 00014655,True,"Usługi – sprzątanie pomieszczeń biurowych w dwóch obiektach Sądu Rejonowego w Świdnicy przy ul. Okulickiego 2-4 i Pl. Grunwaldzki 14, terenu utwardzonego wokół posesji przy ul. Okulickiego 2-4","90910000-9 (Usługi sprzątania),90919200-4 (Usługi sprzątania biur),90911200-8 (Usługi sprzątania budynków),90911300-9 (Usługi czyszczenia okien),90620000-9 (Usługi odśnieżania),90914000-7 (Usługi sprzątania parkingów)","{'4.3.)': 169585.85, '6.2.)': 243510.47, '6.3.)': 323533.45, '6.4.)': 243510.47, '8.2.)': 243510.47}",1
3008,Delivery,2023/BZP 00014667,True,"Sukcesywna dostawa  zestawów operacyjnych, materiałów            
                                                            zabiegowych i opatrunkowych","33141110-4 (Opatrunki),33141116-6 (Zestawy opatrunkowe)","{'4.3.)': 940259.4, '4.5.5.)': 20625.0, '6.2.)': 23760.0, '6.3.)': 23760.0, '6.4.)': 23760.0, '8.2.)': 23760.0}",13
3009,Services,2023/BZP 00014668,True,Przewozy dzieci uczęszczających do Szkoły Podstawowej i Przedszkola w Starym Polu w latach 2023/2024,60100000-9 (Usługi w zakresie transportu drogowego),"{'4.3.)': 601187.14, '6.2.)': 720756.0, '6.3.)': 720756.0, '6.4.)': 720756.0}",1
3011,Delivery,2023/BZP 00014673,True,Dostawa sprzętu komputerowego oraz drukarek.,"30231300-0 (Monitory ekranowe),30200000-1 (Urządzenia komputerowe),30213200-7 (Komputer tablet),30121000-3 (Urządzenia fotokopiujące i termokopiujące),30232100-5 (Drukarki i plotery)","{'4.3.1)': 141678.05, '4.5.5.)': 625.2, '6.2.)': 674.7, '6.3.)': 674.7, '6.4.)': 674.7, '8.2.)': 674.7}",3
3012,Services,2023/BZP 00014681,True,"DOWÓZ UCZNIÓW DO SZKÓŁ NA TERENIE GMINY I MIASTA ŻUROMIN 
w okresie od dnia 01.01.2023 do 31.12.2023",60100000-9 (Usługi w zakresie transportu drogowego),"{'4.3.1)': 84653.78, '6.2.)': 73649.7, '6.3.)': 73649.7, '6.4.)': 73649.7, '8.2.)': 73649.7}",1
3013,Delivery,2023/BZP 00014686,True,"Sukcesywne dostawy artykułów żywnościowych tj. wyroby wieprzowe, wyroby drobiowe, warzywa, ziemniaki, przyprawy, nabiał, tłuszcze roślinne do Aresztu Śledczego w Krasnymstawie.","15100000-9 (Produkty zwierzęce, mięso i produkty mięsne),03220000-9 (Warzywa, owoce i orzechy),03212100-1 (Ziemniaki),15870000-7 (Przyprawy i przyprawy korzenne),15500000-3 (Produkty mleczarskie),15400000-2 (Oleje i tłuszcze zwierzęce lub roślinne)","{'4.3.)': 311715.0, '4.5.5.)': 27900.0, '6.2.)': 33100.0, '6.3.)': 40198.5, '6.4.)': 33100.0, '8.2.)': 33100.0}",7
3015,Services,2023/BZP 00014695,True,Konserwacja przepompowni wód deszczowych oraz agregatu prądotwórczego na terenie miasta Płocka.,"50500000-0 (Usługi w zakresie napraw i konserwacji pomp, zaworów, zaworów odcinających, pojemników metalowych i maszyn)","{'6.2.)': 398520.0, '6.3.)': 560880.0, '6.4.)': 398520.0, '8.2.)': 398520.0}",1
3016,Services,2023/BZP 00014702,True,"Wyłapywanie, transport oraz utrzymywanie bezdomnych zwierząt z terenu Gminy Miasta Ełk, z podziałem na 2 części.","98380000-0 (Usługi psiarni),85200000-1 (Usługi weterynaryjne)","{'4.5.5.)': 64227.64, '6.2.)': 308668.45, '6.3.)': 308668.45, '6.4.)': 308668.45, '8.2.)': 308668.45}",1
3018,Delivery,2023/BZP 00014708,True,Dostawy żywności – warzywa i owoce – dla potrzeb kuchni centralnej w Gminie Chełmiec na rok 2023 – część 1,"15300000-1 (Owoce, warzywa i podobne produkty)","{'4.3.1)': 115113.7, '6.2.)': 99489.0, '6.3.)': 99489.0, '6.4.)': 99489.0, '8.2.)': 99489.0}",1
3019,Delivery,2023/BZP 00014709,True,Dostawa wędlin i mięsa do Domu Pomocy Społecznej w Moszczanach,"15000000-8 (Żywność, napoje, tytoń i produkty pokrewne)","{'4.3.)': 41832.44, '6.2.)': 38316.02, '6.3.)': 43724.91, '6.4.)': 38316.02, '8.2.)': 38316.02}",1
3020,Delivery,2023/BZP 00014718,True,Zakup i dostawa śruty sojowej i rzepakowej,03100000-2 (Produkty rolnictwa i ogrodnictwa),"{'6.2.)': 81502.2, '6.3.)': 83747.52, '6.4.)': 81502.2, '8.2.)': 81502.2}",10
3021,Delivery,2023/BZP 00014720,True,Sukcesywne dostawy leków,33600000-6 (Produkty farmaceutyczne),"{'4.3.)': 1385879.84, '4.3.1)': 47804.04, '6.2.)': 50201.94, '6.3.)': 50201.94, '6.4.)': 50201.94, '8.2.)': 50201.94}",1
3022,Delivery,2023/BZP 00014721,True,Dostawa tłucznia kamiennego,"14212200-2 (Kruszywo),60100000-9 (Usługi w zakresie transportu drogowego)","{'6.2.)': 736000.0, '6.3.)': 1199200.0, '6.4.)': 736000.0, '8.2.)': 736000.0}",1
3023,Services,2023/BZP 00014722,True,Usługa ubezpieczenia Uniwersytetu Przyrodniczego w Poznaniu,66510000-8 (Usługi ubezpieczeniowe),{},2
3024,Works,2023/BZP 00014723,True,„Przebudowa drogi powiatowej nr 3313E relacji Róża – Kruszów – Kalska Wola na terenie Gminy Czarnocin”,"45233220-7 (Roboty w zakresie nawierzchni dróg),45233222-1 (Roboty budowlane w zakresie układania chodników i asfaltowania),45233223-8 (Wymiana nawierzchni drogowej),45233320-8 (Fundamentowanie dróg)","{'4.3.)': 7163325.21, '6.2.)': 8994316.08, '6.3.)': 9747657.13, '6.4.)': 8994316.08, '8.2.)': 8994316.08}",1
